Property                                                            Type          Read-only  Value
REGISTER.CONFIG_STATUS.BIT09_MODE_PIN_M[1]                          string        true       1
REGISTER.CONFIG_STATUS.BIT10_MODE_PIN_M[2]                          string        true       1
REGISTER.CONFIG_STATUS.BIT11_INIT_B_INTERNAL_SIGNAL_STATUS          string        true       1
REGISTER.CONFIG_STATUS.BIT12_INIT_B_PIN                             string        true       1
REGISTER.CONFIG_STATUS.BIT13_DONE_INTERNAL_SIGNAL_STATUS            string        true       1
REGISTER.CONFIG_STATUS.BIT14_DONE_PIN                               string        true       1
REGISTER.CONFIG_STATUS.BIT15_IDCODE_ERROR                           string        true       0
REGISTER.CONFIG_STATUS.BIT16_SECURITY_ERROR                         string        true       0
REGISTER.CONFIG_STATUS.BIT17_SYSTEM_MONITOR_OVER-TEMP_ALARM_STATUS  string        true       0
REGISTER.CONFIG_STATUS.BIT18_CFG_STARTUP_STATE_MACHINE_PHASE        string        true       100
REGISTER.CONFIG_STATUS.BIT21_RESERVED                               string        true       0000
REGISTER.CONFIG_STATUS.BIT25_CFG_BUS_WIDTH_DETECTION                string        true       11
REGISTER.CONFIG_STATUS.BIT27_HMAC_ERROR                             string        true       0
REGISTER.CONFIG_STATUS.BIT28_PUDC_B_PIN                             string        true       0
REGISTER.CONFIG_STATUS.BIT29_BAD_PACKET_ERROR                       string        true       0
REGISTER.CONFIG_STATUS.BIT30_CFGBVS_PIN                             string        true       1
REGISTER.CONFIG_STATUS.BIT31_RESERVED                               string        true       0
REGISTER.COR0                                                       string        true       02003fe5
REGISTER.COR0.BIT00_GWE_CYCLE                                       string        true       101
REGISTER.COR0.BIT03_GTS_CYCLE                                       string        true       100
REGISTER.COR0.BIT06_LOCK_CYCLE                                      string        true       111
REGISTER.COR0.BIT09_MATCH_CYCLE                                     string        true       111
REGISTER.COR0.BIT12_DONE_CYCLE                                      string        true       011
REGISTER.COR0.BIT15_SSCLKSRC                                        string        true       00
REGISTER.COR0.BIT17_OSCFSEL                                         string        true       000000
REGISTER.COR0.BIT23_SINGLE                                          string        true       0
REGISTER.COR0.BIT24_DRIVE_DONE                                      string        true       0
REGISTER.COR0.BIT25_DONE_PIPE                                       string        true       1
REGISTER.COR0.BIT26_RESERVED                                        string        true       0
REGISTER.COR0.BIT27_PWRDWN_STAT                                     string        true       0
REGISTER.COR0.BIT28_RESERVED                                        string        true       0000
REGISTER.COR1                                                       string        true       00000000
REGISTER.COR1.BIT00_BPI_PAGE_SIZE                                   string        true       00
REGISTER.COR1.BIT02_BPI_1ST_READ_CYCLE                              string        true       00
REGISTER.COR1.BIT04_RESERVED                                        string        true       0000
REGISTER.COR1.BIT08_RBCRC_EN                                        string        true       0
REGISTER.COR1.BIT09_RBCRC_NO_PIN                                    string        true       0
REGISTER.COR1.BIT10_RESERVED                                        string        true       00000
REGISTER.COR1.BIT15_RBCRC_ACTION                                    string        true       00
REGISTER.COR1.BIT17_PERSIST_DEASSERT_AT_DESYNC                      string        true       0
REGISTER.COR1.BIT18_RESERVED                                        string        true       00000000000000
REGISTER.IR                                                         string        true       110101
REGISTER.IR.BIT0_ALWAYS_ONE                                         string        true       1
REGISTER.IR.BIT1_ALWAYS_ZERO                                        string        true       0
REGISTER.IR.BIT2_ISC_DONE                                           string        true       1
REGISTER.IR.BIT3_ISC_ENABLED                                        string        true       0
REGISTER.IR.BIT4_INIT_COMPLETE                                      string        true       1
REGISTER.IR.BIT5_DONE                                               string        true       1
REGISTER.TIMER                                                      string        true       00000000
REGISTER.TIMER.BIT00_TIMER_VALUE                                    string        true       000000000000000000000000000000
REGISTER.TIMER.BIT30_TIMER_CFG_MON                                  string        true       0
REGISTER.TIMER.BIT31_TIMER_USR_MON                                  string        true       0
REGISTER.USERCODE                                                   string        true       bb6c1479
REGISTER.USR_ACCESS                                                 string        true       75b2c368
REGISTER.WBSTAR                                                     string        true       00000000
REGISTER.WBSTAR.BIT00_START_ADDR                                    string        true       00000000000000000000000000000
REGISTER.WBSTAR.BIT29_RS_TS_B                                       string        true       0
REGISTER.WBSTAR.BIT30_RS                                            string        true       00
REGISTER.EFUSE.FUSE_DNA                                             string        true       3A1682F670B04067
REGISTER.EFUSE.DNA_PORT                                             string        true       0020D0E6F41685C
REGISTER.EFUSE.FUSE_CNTL                                            string        true       00C0
REGISTER.EFUSE.FUSE_USER                                            string        true       00000000
REGISTER.EFUSE.FUSE_KEY                                             string        true       0000000000000000000000000000000000000000000000000000000000000000
DID                                                                 string        true       jsn-JTAG-SMT1-210203B32F4DA-23727093-0
MASK                                                                string        true       00001111111111111111111111111111
MASK_HEX                                                            string        true       0FFFFFFF
UNKNOWN_DEVICE                                                      bool          true       0
XSDB_USER_BSCAN                                                     string        false      1,3
BSCAN_SWITCH_USER_MASK                                              string        false      0001
